name,price,junk,year,model,mid_model,big_model
"IROBOT ルンバ I7 新品未使用の画像 60,000円",60000,False,,,,
"上位機種なので吸引力5倍 iRobotルンバ780 ロボット掃除機 スマート家電の画像 13,800円",13800,False,,780,780.0,700.0
"w☆純正 現行 W☆ ルンバ e i jシリーズ エッジブラシ & フィルターの画像 2,850円",2850,False,,,,
"【値下げしました】IROBOT ルンバ E5の画像 22,551円",22551,False,,,,
"iRobot ルンバ 654 Roomba ロボット掃除機 アイロボット V11の画像 19,800円",19800,False,,654,650.0,600.0
"【新品未使用】アイロボット 交換備品 4419704 4502891 ルンバの画像 5,500円",5500,False,,,,
"ルンバ 700シリーズ 付属品の画像 1,110円",1110,False,,,,
"ルンバ694 美品 大幅値下げ!の画像 21,000円",21000,False,,694,690.0,600.0
"IROBOT ルンバ985  900シリーズの画像 33,300円",33300,False,,985,980.0,900.0
"ルンバ 560シリーズ(並行輸入品)の画像 14,000円",14000,False,,560,560.0,500.0
"iRobot Roomba i7+ ルンバ ロボット掃除機の画像 49,200円",49200,False,,,,
"約180分の連続使用可能 iRobotルンバ専用 純正XLifeバッテリー 掃除の画像 5,980円",5980,False,,,,
"iRobot ルンバ 19年製 i7の画像 35,000円",35000,False,,,,
"ロボット掃除機 ルンバ 780 国内正規品の画像 3,500円",3500,False,,780,780.0,700.0
"ルンバ 純正オプション 4747487 エッジクリーニングブラシ(3個)の画像 1,500円",1500,False,,,,
"【未開封】iRobotルンバ バーチャルウォール/フィルタ/クリーニングツールの画像 4,999円",4999,False,,,,
"iRobot ルンバ880 部品交換済 バーチャルウォール付き 箱ありの画像 11,400円",11400,False,,880,880.0,800.0
"【新品未開封】IROBOT ルンバ i7+ i755060 全自動掃除機の画像 73,300円",73300,False,,755,750.0,700.0
"iRobot*ルンバ 691の画像 12,800円",12800,False,,691,690.0,600.0
"《ジャンク品》IROBOT ルンバ 770の画像 2,980円",2980,True,,770,770.0,700.0
"アイロボット ルンバi2 、ブラーバジェットm6 Alexa、Wi-Fi対応の画像 59,000円",59000,False,,,,
"美品 アイロボット ルンバ 純正充電器の画像 4,800円",4800,False,,,,
"新品バッテリー付き iRobot ルンバ871 ロボット掃除機 スマート家電の画像 15,100円",15100,False,,871,870.0,800.0
"ルンバゲート 3つセットの画像 2,000円",2000,False,,,,
"⭐️美品⭐️ iRobotルンバ980 Wi-Fi・Alexa連携 スマホで操作の画像 38,000円",38000,False,,980,980.0,900.0
"値下げ中!【24時間以内発送】IROBOT ルンバ 960の画像 25,200円",25200,False,,960,960.0,900.0
"ロボット掃除機ルンバ643の画像 11,400円",11400,False,,643,640.0,600.0
"iRobot ルンバ 2017年製 MA 01730 USA 中古 簡易動確済の画像 12,000円",12000,False,2017.0,,,
"吸引力10倍 新品バッテリー付き iRobotルンバ980 ロボット掃除機 家電の画像 36,800円",36800,False,,980,980.0,900.0
"iRobot ルンバ デュアルバーチャルウォールの画像 4,100円",4100,False,,,,
"★極上美品 ゴムタイヤ新品★iRobot ルンバ タイヤモジュール ネジ付きの画像 2,999円",2999,False,,,,
"IROBOT ルンバ 621の画像 6,588円",6588,False,,621,620.0,600.0
"140分動作確認済み 2016年製 日本正規品の美品 iRobot ルンバ960の画像 26,200円",26200,False,2016.0,960,960.0,900.0
"【新品未開封】ルンバ i7+ ロボット掃除機 i755060 Alexa対応の画像 71,000円",71000,False,,755,750.0,700.0
"アイロボット ルンバ 641 美品の画像 12,800円",12800,False,,641,640.0,600.0
"ルンバ専用 連続3時間使用可能 純正リチウムイオンバッテリー ロボット掃除機の画像 6,490円",6490,False,,,,
"iRobot ルンバ 627 ロボット掃除機の画像 12,400円",12400,False,,627,620.0,600.0
"【新品・未使用】IROBOT ルンバ E5の画像 30,280円",30280,False,,,,
"iRobotルンバ、タイヤモジュール左右【純正品】の画像 1,870円",1870,False,,,,
"ルンバ フィルター ブラシ バーチャルウォール 他 500シリーズの画像 1,200円",1200,False,,,,
"【新品未開封】IROBOT ルンバ i7+ i755060 全自動掃除機の画像 72,000円",72000,False,,755,750.0,700.0
"iRobot Roomba ルンバ 本体のみ 2011年製 送料込の画像 3,590円",3590,False,2011.0,,,
"【5年保証付き】ルンバ i2の画像 34,200円",34200,False,,,,
"7☆純正 現行 S☆ ルンバ e i jシリーズ エッジブラシ & フィルターの画像 1,550円",1550,False,,,,
"【新品・未開封】iRobot ルンバ i3 グレー I315060の画像 48,900円",48900,False,,,,
"【新品・未開封】irobot ルンバj7の画像 80,000円",80000,False,,,,
"【新品未使用】IROBOT ルンバ980の画像 45,000円",45000,False,,980,980.0,900.0
"iRobot デュアルバーチャルウォール ルンバの画像 8,800円",8800,False,,,,
"Wi-Fi・Alexa連携 スマホで操作 iRobotルンバ980 掃除機 家電の画像 36,500円",36500,False,,980,980.0,900.0
"【美品/スマホ連携】ルンバ Roomba 691 バッテリー100分可動の画像 14,999円",14999,False,,691,690.0,600.0
"【未使用品】IROBOT ルンバ643の画像 23,900円",23900,False,,643,640.0,600.0
"アイロボット自動掃除機 ルンバ  700シリーズ 760の画像 9,500円",9500,False,,760,760.0,700.0
"✨格安✨ ★美品★Roomba 780 お手持ちのルンバのバージョンアップの画像 4,999円",4999,False,,780,780.0,700.0
"◆格安提供 ★リユース美品★ルンバ Roomba 770の画像 4,999円",4999,False,,770,770.0,700.0
"【未開封品】IROBOT ルンバ E5の画像 29,700円",29700,False,,,,
"ルンバ ホームベースとバーチャルウォールのセットの画像 4,200円",4200,False,,,,
"【未使用】ルンバ500シリーズ バーチャルウォール(2個)の画像 3,500円",3500,False,,,,
"IROBOT ルンバ I7 i7150の画像 45,000円",45000,False,,,,
"IROBOT ルンバ I7+の画像 59,000円",59000,False,,,,
"簡単スマホで操作 IROBOTルンバ E5 ロボット掃除機 スマート家電 清掃の画像 24,800円",24800,False,,,,
"新品の交換部品付き IROBOT ルンバ890の画像 15,555円",15555,False,,890,890.0,800.0
"S◆854  アイロボット 掃除機 ルンバI7+の画像 59,500円",59500,False,,854,850.0,800.0
"iRobot アイロボットロボット掃除機「ルンバ」i3+ グレー I355060の画像 65,000円",65000,False,,,,
"『 ルンバ i3+ 』の画像 79,400円",79400,False,,,,
"IROBOT ルンバ E5の画像 39,400円",39400,False,,,,
"IROBOT ルンバ 623 中古 動作確認済の画像 5,999円",5999,False,,623,620.0,600.0
"ロボット掃除機ルンバ694の画像 19,800円",19800,False,,694,690.0,600.0
"IROBOT 527 ルンバの画像 5,800円",5800,False,,527,520.0,500.0
"値下げしました❗️IROBOT ルンバ E5の画像 22,900円",22900,False,,,,
"IROBOT ルンバ 885 説明書と箱付き、新品備品有りの画像 13,000円",13000,False,,885,880.0,800.0
"iRobotルンバ600の画像 11,000円",11000,False,,,,
"【新品・未開封】IROBOT ルンバ I7の画像 49,000円",49000,False,,,,
"IROBOT ルンバ 621の画像 21,500円",21500,False,,621,620.0,600.0
"ルンバ S9の画像 85,000円",85000,False,,,,
"IROBOT ルンバ I7+の画像 85,000円",85000,False,,,,
"IROBOT ルンバ 622の画像 6,000円",6000,False,,622,620.0,600.0
"iRobot クリーナー ルンバ i3+の画像 57,900円",57900,False,,,,
"IROBOT ルンバ 622の画像 7,770円",7770,False,,622,620.0,600.0
"【⭐️新品未使用】IROBOT ルンバ I7(5年延長保証付き)の画像 49,800円",49800,False,,,,
"iRobot ロボット掃除機ルンバ e5の画像 20,000円",20000,False,,,,
"iRobot社 ロボット掃除機 ルンバ980 ダークグレー R980060の画像 66,500円",66500,False,,980,980.0,900.0
"ルンバ 530 iRobot 新品フィルター・ブラシ付 説明書有の画像 3,198円",3198,False,,530,530.0,500.0
"Irobotルンバ642の画像 9,800円",9800,False,,642,640.0,600.0
"ルンバ デュアルバーチャルウォール 4610424の画像 9,000円",9000,False,,,,
"値下げしました! ルンバ i2 新品未使用 最安値で出品中の画像 30,999円",30999,False,,,,
"IROBOOT  ルンバ タイヤモジュール左右セット 中古  純正品の画像 1,700円",1700,False,,,,
"IROBOT ルンバ 960の画像 14,800円",14800,False,,960,960.0,900.0
"Wi-Fi・Alexa連携 iRobotルンバ892 ロボット掃除機 アレルギーの画像 19,000円",19000,False,,892,890.0,800.0
"IROBOT ルンバ E5の画像 32,000円",32000,False,,,,
"アイロボット ロボット掃除機 ルンバ691の画像 18,000円",18000,False,,691,690.0,600.0
"IROBOT ルンバ 871 ジャンク品の画像 6,500円",6500,True,,871,870.0,800.0
"iRobot ルンバ i3 15060の画像 38,980円",38980,False,,,,
"IROBOT ルンバ 621の画像 3,666円",3666,False,,621,620.0,600.0
"iRobot『ルンバ780 』お部屋ナビ2個+リモナビ(純正品)新品☆値下げ中⚠︎の画像 1,111円",1111,False,,780,780.0,700.0
"ルンバ ロボット掃除機 760の画像 7,000円",7000,False,,760,760.0,700.0
"iRobotルンバ、タイヤモジュル(純正品)左右の画像 2,500円",2500,False,,,,
"初代ルンバ iRobotの画像 7,000円",7000,False,,,,
"【未使用品】ルンバ500シリーズ付属品 ブラシの画像 1,299円",1299,False,,,,
"人気商品 iRobotルンバe5 ロボット掃除機 スマート家電 アレルギー対策の画像 23,100円",23100,False,,,,
"IROBOT ルンバ E5の画像 29,800円",29800,False,,,,
"iRobot アイロボット☆ルンバ 628  2017年製の画像 8,300円",8300,False,2017.0,628,620.0,600.0
"IROBOT ルンバ 875の画像 9,300円",9300,False,,875,870.0,800.0
"新品バッテリー付き 吸引力5倍 iRobotルンバ885 掃除機 スマート家電の画像 18,700円",18700,False,,885,880.0,800.0
"ルンバ i7+の画像 59,000円",59000,False,,,,
"iROBOT ルンバ E5の画像 28,500円",28500,False,,,,
"IROBOT ルンバ 527の画像 3,400円",3400,False,,527,520.0,500.0
"上位機種なので吸引力5倍 iRobotルンバ780 ロボット掃除機 スマート家電の画像 13,800円",13800,False,,780,780.0,700.0
"ルンバ デュアルバーチャルウォールの画像 4,500円",4500,False,,,,
"iRobot ルンバ 980 R980060 正規品 ジャンク品 純正付属品多数の画像 18,500円",18500,True,,980,980.0,900.0
"アイロボットルンバ760の画像 2,300円",2300,False,,760,760.0,700.0
"IROBOT ルンバ I7 新品 未使用品の画像 47,499円",47499,False,,,,
"IROBOT ルンバ 654の画像 8,500円",8500,False,,654,650.0,600.0
"IROBOT ルンバ E5の画像 16,500円",16500,False,,,,
